AcctNumber,AcctName,AcctType,sort,OTrate
D107,Adjusment: Insurance,D,999,1
D108,RLM cert.,D,999,1
D109,ECG,D,999,1
D110,BOSH Training,D,999,1
D111,Medical,D,999,1
D112,Neuro Exam,D,999,1
D113,Dri Fit Shorts/Shirt,D,999,1
D114,Booklet,D,999,1
D115,payment of laptop,D,999,1
D116,Electric Bill,D,999,1
D117,Go-Bag/Kit,D,999,1
D118,Payment for Boarding House,D,999,1
D119,LBC Mail Charge,D,999,1
D120,Basic Gun Handling,D,999,1
D121,Lost Firearm,D,999,1
D122,Extra Paraph. - SOSIA Patch,D,999,1
E001,Basic Pay,E,1,1
E002,Absences/Undertime,D,999,1
E003,Reg. OT,E,2,1.25
E004,Night Diff. Pay,E,3,0.1
E005,Rest Day Pay,E,4,0.3
E006,Rest Day OT Pay,E,5,1.69
E007,Legal Holiday Pay,E,6,1
E008,Legal Holiday OT Pay,E,7,2.6
E009,Special Holiday Pay,E,8,0.3
E010,Special Holiday OT Pay,E,9,1.69
E011,Rest Day - Legal Holiday Pay,E,10,1.6
E012,RDLH/SHLH OT Pay,E,11,3.38
E013,Rest Day - Special Holiday Pay,E,12,0.5
E014,Rest Day - Special Holiday OT Pay,E,13,1.95
E015,Allowance      ,E,999,1
E016,ECOLA          ,E,14,1
E017,Salary Adjust. ,E,999,1
E018,Incentive Leave,E,999,1
E019,13th Month     ,E,999,1
E020,TAX REFUND,E,999,1
E021,Retro-Ntaxable ,E,999,1
E022,Refund of Dedn ,E,999,1
E023,RETRO PAY      ,E,999,1
E024,Retro ECOLA    ,E,999,1
E025,Uniform Allowance,E,999,1
E026,Additional Allowance,E,999,1
E027,ECOLA (added),E,999,1
E028,Provision for Retirement,E,999,1
E029,Meal Allowance,E,999,1
E030,Neuro-Drug Test Refund,E,999,0
E031,Meal Allow Adj. (Nov. 1-15),E,999,0
E032,13th Month (Nov. 16-30),E,999,1
E033,Des Minimis,E,999,1
E034,Rice Subsidy,E,999,1
E035,Transpo Reimbursement,E,999,1
E036,Insurance Premium Refund,E,999,1
E037,Rest Day Special Holiday Adjustment,E,999,1
E038,Retro Pay(GSIA),E,999,1
E039,Retro Pay(Blueflame),E,999,1
E040,OJT Allowance,E,999,1
E041,CTPA,E,999,1
E042,CTPA Reg Holiday,E,999,1
E043,Retro CTPA,E,999,1
E044,COLA,E,999,1
E045,Laundry,E,999,1
E046,Clothing/Uniform Allowance,E,999,1
E047,SEA,E,999,1
E048,Sea Reg Hol,E,999,1
E049,Retro Pay- SEA,E,999,1
E050,Retro Pay LH Cola,E,999,1
E051,Tax Refund 2014,E,999,1
E052,ECOLA LH,E,999,1
E053,ECOLA RDLH,E,999,1
E054,CTPA RDLH,E,999,1
E055,Sea RDSH,E,999,1
E056,Incentive Bonus,E,999,1
E057,Special Holiday Adjustment,E,999,1
E058,Referral Incentive,E,999,1
E059,Meal/Housing Allowance,E,999,1
E060,Meal Allowance,E,999,1
E061,Unworked LH,E,999,1
E062,SIL adjustment,E,999,1
E063,Night Diff Pay Adjustment,E,999,1
E064,Shuttle Allowance,E,999,1
D123,CTPA over payment Nov 2016,D,999,1
D124,Over payment 13th month pay 2016,D,999,1
D125,Rest Day Legal Hol Adjustment,D,999,1
E067,Rockwell Collins Family Day,E,999,1
E065,Tax Refund 2016,E,999,1
E066,ICA fair/Variety show,E,999,1
D126,Gervasio Hospitalization,D,999,1
D127,Hospitalization Share (GC),D,999,1
E068,Tax Refund 2017,E,999,1
D128,Extra PPE - Earplug,D,999,1
D129,Extra PPE - Chemical Mask,D,999,1
E069,Annual Incentive Leave 2017,E,999,1
D131,Refund of Rest day pay April 01-15,D,999,1
D130,GEMCO Coop Medical Assistance,D,999,1
D132,Extra Uniform - Charol Shoes,D,999,1
D133,GEMCO Coop Loans1,D,999,1
D134,GEMCO Coop Products1,D,999,1
D135,GEMCO Coop Products2,D,999,1
D141,Excess 4hours OT,D,999,1
D136,Excess Night Diff. Pay,D,999,1
E070,Legal Holiday Adjustment,E,999,1
D137,Honda City repair,D,999,1
D138,Donation,D,999,1
E071,Allowance Adjustment,E,999,1
E072,LEGAL HOLIDAY PAY,E,999,1
D139,CASH ADVANCE,D,999,1
E073,RDLH PAY,E,999,1
D140,Over payment midyear july 1-15,D,999,1
E074,RESTDAY LEGAL HOL,E,999,1
E075,RDLH OT,E,999,1
D143,License Processing,D,999,1
D142,Markmanship training,D,999,1
D144,Meals,D,999,1
D145,C.A,D,999,1
E076,COLA REFUND,E,999,1
D149,Personal Loan - CA,D,999,1
D148,Radio,D,999,1
D146,Over Payment Late,D,999,1
D147,Over Payment,D,999,1
D150,HEPA A&B TEST,D,999,1
E077,Refund of Deduction,E,999,1
E079,Canteen Allowance,E,999,1
E078,Transpo Allowance,E,999,1
D151,OverPayment,D,999,1
D152,Extra Paraphernalia1,D,999,1
D153,Personal Loan - PLTC,D,999,1
E081,Double Hol,E,999,2
E080,Hazard Pay,E,999,1
E082,Double Hol OT,E,999,3.9
E083,RD Double Hol,E,999,2.9
E084,RD Double Hol OT,E,999,5.07
E086,Premium Pay,E,999,1
E085,Stay-In Incentives,E,999,1
D197,SSS Calamity Loan,D,999,1
E087,Allowance,E,999,1
D200,GEMCO COOP HAM Old,D,999,1
D207,GEMCO Coop Medicine 2,D,999,1
D198,Cash Loan (mgv),D,999,1
D199,Cash Loan 2 (mgv),D,999,1
D201,GEMCO COOP HAM Addtnl,D,999,1
D202,GEMCO COOP HAM Newly Hired,D,999,1
D203,Hospitalization Aid I,D,999,1
D204,Hospitalization Aid II,D,999,1
D205,Hospitalization Aid III,D,999,1
D206,GEMCO Coop Medicine,D,999,1
E088,Hazard PAY,E,999,1
E089,DC Mtg Attendance,E,999,1
E090,ShuttleAllowance,E,999,1
E091,ND Overtime,E,999,1
E092,ND Restday,E,999,1
E093,ND Restday OT,E,999,1
D208,SSS Prem - Adjustment,D,999,1
D209,CashAdvance,D,999,1
D210,CASHADVANCE,D,999,1
